seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5401	0.03	3	500	1	0.001	5000	f2	80	32.336	-0.5958	0.5958	28.294	37.3885	False	0.11368125	67.43757894736844	-0.15703026315789453	-0.43876973684210546	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0.001	5000	f3	200	82.861	-0.585695	0.585695	73.7665	92.966	False	0.0959975	164.4978788598575	-0.17751060570071245	-0.40818439429928755	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0.01	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0.01	5000	f2	80	27.2835	-0.6589562499999999	0.6589562499999999	23.2415	31.3255	False	0.10105000000000004	67.43757894736844	-0.15703026315789453	-0.5019259868421054	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	1	0.01	5000	f3	200	68.714	-0.65643	0.65643	58.609	77.8085	False	0.09599749999999997	164.4978788598575	-0.17751060570071245	-0.47891939429928754	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	5	0	5000	f1	20	4.6023	-0.769885	0.769885	2.4012	5.8029	False	0.17008500000000001	7.8694676188930375	-0.6065266190553482	-0.16335838094465188	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	5	0	5000	f2	80	39.6196	-0.5047550000000001	0.5047550000000001	35.6176	44.6221	False	0.11255625	79.5551537258989	-0.005560578426263696	-0.49919442157373634	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	5	0	5000	f3	200	104.6518	-0.476741	0.476741	95.8474	111.6552	False	0.079039	197.18592954069754	-0.014070352296512283	-0.46267064770348776	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	5	0.001	5000	f1	20	4.4022	-0.77989	0.77989	2.4012	5.6028	False	0.16008000000000003	7.8694676188930375	-0.6065266190553482	-0.1733633809446519	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	3	500	5	0.001	5000	f2	80	38.8192	-0.51476	0.51476	34.6171	43.4215	False	0.11005500000000001	79.5551537258989	-0.005560578426263696	-0.5091994215737363	diagnostic_kmer_10_90_spread_not_sampling_CI
