dataset_id	scenario	seed	read_id	read_length	truth_array_count	screen_status	candidate_period_count	best_period	periodicity_score	repeat_start	repeat_end	repeat_span	repeat_span_fraction	unit_span_residual_fraction	shifted_identity	valid_pair_fraction	composition_adjusted_identity	maximum_truth_iou	minimum_truth_period_error_bp
at_rich_control_s1201	at_rich_control	1201	r0000090	5000	0	rejected_score	5	63	0.5415384615384616	60	188	128	0.0256	0.031746031746031744	0.676923076923077	1.0	0.4214981084489282	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000091	5000	0	rejected_score	5	43	0.5473684210526316	2518	2618	100	0.02	0.32558139534883723	0.6842105263157895	1.0	0.4776885979420931	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000092	5000	0	rejected_score	5	53	0.5132075471698113	841	947	106	0.0212	0.0	0.6415094339622641	1.0	0.37935285053929113	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000093	5000	0	rejected_score	5	49	0.5384615384615385	2415	2516	101	0.0202	0.061224489795918366	0.6730769230769231	1.0	0.3997584039430693	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000094	5000	0	rejected_score	5	52	0.5333333333333333	1375	1481	106	0.0212	0.038461538461538464	0.6666666666666666	1.0	0.4354336247613304	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000095	5000	0	rejected_score	5	47	0.5433962264150943	2787	2887	100	0.02	0.1276595744680851	0.6792452830188679	1.0	0.4261990751679211	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000096	5000	0	rejected_score	5	39	0.49836065573770494	2291	2391	100	0.02	0.4358974358974359	0.6229508196721312	1.0	0.3587598974015837	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000097	5000	0	rejected_score	5	42	0.5333333333333333	868	973	105	0.021	0.5	0.6666666666666666	1.0	0.3975409836065573	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000098	5000	0	rejected_score	5	43	0.5333333333333333	3845	3945	100	0.02	0.32558139534883723	0.6666666666666666	1.0	0.3989662219016708	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000099	5000	0	rejected_score	5	53	0.5185185185185185	1282	1389	107	0.0214	0.018867924528301886	0.6481481481481481	1.0	0.3905670420799014	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000100	5000	0	rejected_score	5	83	0.5238095238095238	359	526	167	0.0334	0.012048192771084338	0.6547619047619048	1.0	0.38750984490488316	0.0	NA
clean_171_s1201	clean_171	1201	r0000001	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000002	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000003	5000	1	accepted	5	171	0.9998698763825635	1473	3526	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000004	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000005	5000	0	rejected_score	1	48	0.3703703703703704	161	263	102	0.0204	0.125	0.46296296296296297	1.0	0.28053910206884713	0.0	NA
clean_171_s1201	clean_171	1201	r0000006	5000	1	accepted	5	171	1.0	1474	3527	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000007	5000	1	accepted	5	171	0.999739921976593	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000008	5000	1	accepted	5	171	1.0	1474	3527	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000009	5000	1	accepted	5	171	0.9998698763825635	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000010	5000	1	accepted	5	171	1.0	1472	3526	2054	0.4108	0.011695906432748537	1.0	1.0	1.0	0.9990262901655307	0
clean_171_s1201	clean_171	1201	r0000011	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000012	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000013	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000014	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000015	5000	1	accepted	5	171	1.0	1474	3528	2054	0.4108	0.011695906432748537	1.0	1.0	1.0	0.9990262901655307	0
clean_171_s1201	clean_171	1201	r0000016	5000	1	accepted	5	171	1.0	1473	3526	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000017	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000018	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000019	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000020	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000021	5000	1	accepted	5	171	1.0	1474	3529	2055	0.411	0.017543859649122806	1.0	1.0	1.0	0.9985401459854014	0
clean_171_s1201	clean_171	1201	r0000022	5000	1	accepted	5	171	1.0	1474	3528	2054	0.4108	0.011695906432748537	1.0	1.0	1.0	0.9990262901655307	0
clean_171_s1201	clean_171	1201	r0000023	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000024	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000025	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000026	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000027	5000	1	accepted	5	171	1.0	1474	3529	2055	0.411	0.017543859649122806	1.0	1.0	1.0	0.9985401459854014	0
clean_171_s1201	clean_171	1201	r0000028	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000029	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000030	5000	0	rejected_score	2	47	0.35555555555555557	1792	1893	101	0.0202	0.14893617021276595	0.4444444444444444	1.0	0.2586051514622943	0.0	NA
clean_171_s1201	clean_171	1201	r0000031	5000	1	accepted	5	171	0.9998698763825635	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000032	5000	1	accepted	5	171	1.0	1474	3527	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000033	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000034	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000035	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000036	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000037	5000	1	accepted	5	171	1.0	1474	3527	2053	0.4106	0.005847953216374269	1.0	1.0	1.0	0.9995129079396006	0
clean_171_s1201	clean_171	1201	r0000038	5000	0	rejected_score	1	43	0.42105263157894735	4578	4678	100	0.02	0.32558139534883723	0.5263157894736842	1.0	0.36281381419650816	0.0	NA
clean_171_s1201	clean_171	1201	r0000039	5000	1	accepted	5	171	1.0	1474	3528	2054	0.4108	0.011695906432748537	1.0	1.0	1.0	0.9990262901655307	0
clean_171_s1201	clean_171	1201	r0000040	5000	1	accepted	5	171	1.0	1474	3526	2052	0.4104	0.0	1.0	1.0	1.0	1.0	0
clean_171_s1201	clean_171	1201	r0000041	5000	0	no_spacing_peak	0	0	0.0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	NA
clean_171_s1201	clean_171	1201	r0000042	5000	1	accepted	5	171	1.0	1472	3526	2054	0.4108	0.011695906432748537	1.0	1.0	1.0	0.9990262901655307	0
