[M::mm_idx_gen::0.003*0.92] collected minimizers
[M::mm_idx_gen::0.004*1.81] sorted minimizers
[M::main::0.004*1.81] loaded/built the index for 22 target sequence(s)
[M::mm_mapopt_update::0.004*1.79] mid_occ = 50
[M::worker_pipeline::734.827*3.96] mapped 2260 sequences
[M::worker_pipeline::737.282*3.96] mapped 2264 sequences
[M::worker_pipeline::739.810*3.96] mapped 2261 sequences
[M::worker_pipeline::741.908*3.96] mapped 2245 sequences
[M::worker_pipeline::744.113*3.96] mapped 2225 sequences
[M::worker_pipeline::746.716*3.96] mapped 2209 sequences
[M::worker_pipeline::749.381*3.96] mapped 2236 sequences
[M::worker_pipeline::752.131*3.96] mapped 2204 sequences
[M::worker_pipeline::754.582*3.96] mapped 2235 sequences
[M::worker_pipeline::757.012*3.96] mapped 2213 sequences
[M::worker_pipeline::759.143*3.96] mapped 2236 sequences
[M::worker_pipeline::761.125*3.96] mapped 2230 sequences
[M::worker_pipeline::763.392*3.96] mapped 2222 sequences
[M::worker_pipeline::765.588*3.96] mapped 2239 sequences
[M::worker_pipeline::767.606*3.96] mapped 2227 sequences
[M::worker_pipeline::769.877*3.96] mapped 2227 sequences
[M::worker_pipeline::771.936*3.96] mapped 2232 sequences
[M::worker_pipeline::774.215*3.96] mapped 2243 sequences
[M::worker_pipeline::776.219*3.96] mapped 2236 sequences
[M::worker_pipeline::778.762*3.96] mapped 2201 sequences
[M::worker_pipeline::780.863*3.96] mapped 2233 sequences
[M::worker_pipeline::783.196*3.96] mapped 2230 sequences
[M::worker_pipeline::785.594*3.96] mapped 2221 sequences
[M::worker_pipeline::788.020*3.96] mapped 2235 sequences
[M::worker_pipeline::790.229*3.96] mapped 2230 sequences
[M::worker_pipeline::792.603*3.96] mapped 2210 sequences
[M::worker_pipeline::794.940*3.96] mapped 2215 sequences
[M::worker_pipeline::797.143*3.96] mapped 2207 sequences
[M::worker_pipeline::799.448*3.96] mapped 2229 sequences
[M::worker_pipeline::801.642*3.96] mapped 2200 sequences
[M::worker_pipeline::803.960*3.96] mapped 2220 sequences
[M::worker_pipeline::806.436*3.96] mapped 2236 sequences
[M::worker_pipeline::808.924*3.96] mapped 2202 sequences
[M::worker_pipeline::811.205*3.96] mapped 2198 sequences
[M::worker_pipeline::813.485*3.96] mapped 2211 sequences
[M::worker_pipeline::816.090*3.96] mapped 2190 sequences
[M::worker_pipeline::818.605*3.96] mapped 2185 sequences
[M::worker_pipeline::820.712*3.96] mapped 2186 sequences
[M::worker_pipeline::823.057*3.96] mapped 2195 sequences
[M::worker_pipeline::825.582*3.96] mapped 2164 sequences
[M::worker_pipeline::827.899*3.96] mapped 2179 sequences
[M::worker_pipeline::829.524*3.96] mapped 1411 sequences
[M::main] Version: 2.31-r1302
[M::main] CMD: /Volumes/T7/Codex/TandemX/tools/src/minimap2/minimap2 -x map-hifi -c -N 50 -p 0.5 --secondary=yes -K 50M -t 4 /Volumes/T7/Codex/TandemX/results/ey15_targeted_recovery_poc_v3_20260910/recruitment_targets.fa /Volumes/T7/Codex/TandemX/data/raw/ERR8666125_complete/ERR8666125.fastq.gz
[M::main] Real time: 829.525 sec; CPU: 3288.156 sec; Peak RSS: 0.571 GB
