seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_002	f007	31	61	9985727	9985727	59.114754098360656	59.19924918672487
6301	condition_002	f008	15	61	9997279	9997279	72.24590163934427	72.26556509960787
6301	condition_002	f008	21	61	9992947	9992947	61.32786885245902	61.37115392732395
6301	condition_002	f008	27	61	9988615	9988615	52.24590163934426	52.30545139575833
6301	condition_002	f008	31	61	9985727	9985727	47.0	47.06717898456467
6301	condition_002	f009	15	61	9997279	9997279	56.377049180327866	56.392393550612994
6301	condition_002	f009	21	61	9992947	9992947	55.68852459016394	55.72782942825969
6301	condition_002	f009	27	61	9988615	9988615	55.0	55.06268887127995
6301	condition_002	f009	31	61	9985727	9985727	54.540983606557376	54.61894122136263
6301	condition_002	f010	15	61	9997279	9997279	128.88524590163934	128.92032512210506
6301	condition_002	f010	21	61	9992947	9992947	110.63934426229508	110.71743326797899
6301	condition_002	f010	27	61	9988615	9988615	95.50819672131148	95.61705674041043
6301	condition_002	f010	31	61	9985727	9985727	86.44262295081967	86.56617885790355
6301	condition_002	f011	15	61	9997279	9997279	83.59016393442623	83.61291500860007
6301	condition_002	f011	21	61	9992947	9992947	82.06557377049181	82.1234954718481
6301	condition_002	f011	27	61	9988615	9988615	80.59016393442623	80.68202041466833
6301	condition_002	f011	31	61	9985727	9985727	79.63934426229508	79.75317597035757
6301	condition_002	f012	15	61	9997279	9997279	44.049180327868854	44.06116937205499
6301	condition_002	f012	21	61	9992947	9992947	37.26229508196721	37.28859472782875
6301	condition_002	f012	27	61	9988615	9988615	31.21311475409836	31.248691389245018
6301	condition_002	f012	31	61	9985727	9985727	27.62295081967213	27.66243341087948
6301	condition_002	f013	15	61	9997279	9997279	96.67213114754098	96.69844279382518
6301	condition_002	f013	21	61	9992947	9992947	94.06557377049181	94.13196504543836
6301	condition_002	f013	27	61	9988615	9988615	91.62295081967213	91.72738244458529
6301	condition_002	f013	31	61	9985727	9985727	90.06557377049181	90.19430810645216
6301	condition_002	f014	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f014	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f014	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f014	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f015	15	61	9997279	9997279	50.540983606557376	50.55473955118925
6301	condition_002	f015	21	61	9992947	9992947	49.459016393442624	49.49392445836311
6301	condition_002	f015	27	61	9988615	9988615	48.377049180327866	48.43218922776368
6301	condition_002	f015	31	61	9985727	9985727	47.65573770491803	47.723853961677534
6301	condition_002	f016	15	61	9997279	9997279	81.40983606557377	81.43199371106256
6301	condition_002	f016	21	61	9992947	9992947	71.1311475409836	71.18135174837174
6301	condition_002	f016	27	61	9988615	9988615	62.68852459016394	62.759976823777805
6301	condition_002	f016	31	61	9985727	9985727	57.63934426229508	57.72173048822091
6301	condition_002	f017	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f017	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f017	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f017	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f018	15	61	9997279	9997279	174.39344262295083	174.44090799401602
6301	condition_002	f018	21	61	9992947	9992947	152.39344262295083	152.50100157936475
6301	condition_002	f018	27	61	9988615	9988615	133.2622950819672	133.4141871340193
6301	condition_002	f018	31	61	9985727	9985727	121.65573770491804	121.82962512886445
6301	condition_002	f019	15	171	9997279	9997279	0.005847953216374269	0.005849544877535446
6301	condition_002	f019	21	171	9992947	9992947	0.0	0.0
6301	condition_002	f019	27	171	9988615	9988615	0.0	0.0
6301	condition_002	f019	31	171	9985727	9985727	0.0	0.0
6301	condition_002	f020	15	165	9997279	9997279	25.818181818181817	25.825208857511946
6301	condition_002	f020	21	171	9992947	9992947	21.690058479532162	21.705367275071268
6301	condition_002	f020	27	171	9988615	9988615	18.461988304093566	18.48303123515479
6301	condition_002	f020	31	171	9985727	9985727	16.567251461988302	16.590931698802002
6301	condition_002	f021	15	171	9997279	9997279	36.96491228070175	36.974973170901556
6301	condition_002	f021	21	171	9992947	9992947	36.10526315789474	36.13074617317068
