panel	sample_id	category	metric	value	count
F	morex_100mb	158	period_bp	223	NA
F	morex_100mb	159	period_bp	42	NA
F	morex_100mb	160	period_bp	184	NA
F	morex_100mb	161	period_bp	57	NA
F	morex_100mb	162	period_bp	60	NA
F	morex_100mb	163	period_bp	48	NA
F	morex_100mb	164	period_bp	42	NA
F	morex_100mb	165	period_bp	49	NA
F	morex_100mb	166	period_bp	83	NA
F	morex_100mb	167	period_bp	216	NA
F	morex_100mb	168	period_bp	42	NA
F	morex_100mb	169	period_bp	53	NA
F	morex_100mb	170	period_bp	51	NA
F	morex_100mb	171	period_bp	123	NA
F	morex_100mb	172	period_bp	147	NA
F	morex_100mb	173	period_bp	42	NA
F	morex_100mb	174	period_bp	54	NA
F	morex_100mb	175	period_bp	48	NA
F	morex_100mb	176	period_bp	51	NA
F	morex_100mb	177	period_bp	48	NA
F	morex_100mb	178	period_bp	42	NA
F	morex_100mb	179	period_bp	57	NA
F	morex_100mb	180	period_bp	85	NA
F	morex_100mb	181	period_bp	42	NA
F	morex_100mb	182	period_bp	45	NA
F	morex_100mb	183	period_bp	42	NA
F	morex_100mb	184	period_bp	48	NA
F	morex_100mb	185	period_bp	48	NA
F	morex_100mb	186	period_bp	52	NA
F	morex_100mb	187	period_bp	57	NA
F	morex_100mb	188	period_bp	78	NA
F	morex_100mb	189	period_bp	258	NA
F	morex_100mb	190	period_bp	57	NA
F	morex_100mb	191	period_bp	48	NA
F	morex_100mb	192	period_bp	46	NA
F	morex_100mb	193	period_bp	204	NA
F	morex_100mb	194	period_bp	42	NA
F	morex_100mb	195	period_bp	45	NA
F	morex_100mb	196	period_bp	55	NA
F	morex_100mb	197	period_bp	165	NA
F	morex_100mb	198	period_bp	55	NA
F	morex_100mb	199	period_bp	48	NA
F	morex_100mb	200	period_bp	157	NA
F	morex_100mb	201	period_bp	167	NA
F	morex_100mb	202	period_bp	63	NA
F	morex_100mb	203	period_bp	49	NA
F	morex_100mb	204	period_bp	51	NA
F	morex_100mb	205	period_bp	42	NA
F	morex_100mb	206	period_bp	45	NA
F	morex_100mb	207	period_bp	42	NA
F	morex_100mb	208	period_bp	48	NA
F	morex_100mb	209	period_bp	47	NA
F	morex_100mb	210	period_bp	51	NA
F	morex_100mb	211	period_bp	48	NA
F	morex_100mb	212	period_bp	45	NA
F	morex_100mb	213	period_bp	1054	NA
F	morex_100mb	214	period_bp	48	NA
F	morex_100mb	215	period_bp	99	NA
F	morex_100mb	216	period_bp	400	NA
F	morex_100mb	217	period_bp	446	NA
F	morex_100mb	218	period_bp	426	NA
F	morex_100mb	219	period_bp	455	NA
F	morex_100mb	220	period_bp	42	NA
F	morex_100mb	221	period_bp	48	NA
F	morex_100mb	222	period_bp	64	NA
F	morex_100mb	223	period_bp	42	NA
F	morex_100mb	224	period_bp	48	NA
F	morex_100mb	225	period_bp	79	NA
F	morex_100mb	226	period_bp	111	NA
F	morex_100mb	227	period_bp	48	NA
F	morex_100mb	228	period_bp	124	NA
F	morex_100mb	229	period_bp	48	NA
F	morex_100mb	230	period_bp	120	NA
F	morex_100mb	231	period_bp	126	NA
F	morex_100mb	232	period_bp	114	NA
F	morex_100mb	233	period_bp	48	NA
F	morex_100mb	234	period_bp	47	NA
F	morex_100mb	235	period_bp	54	NA
F	morex_100mb	236	period_bp	45	NA
F	morex_100mb	237	period_bp	48	NA
F	morex_100mb	238	period_bp	48	NA
F	morex_100mb	239	period_bp	48	NA
F	morex_100mb	240	period_bp	57	NA
F	morex_100mb	241	period_bp	165	NA
F	morex_100mb	242	period_bp	167	NA
F	morex_100mb	243	period_bp	42	NA
F	morex_100mb	244	period_bp	53	NA
F	morex_100mb	245	period_bp	48	NA
F	morex_100mb	246	period_bp	76	NA
F	morex_100mb	247	period_bp	82	NA
F	morex_100mb	248	period_bp	57	NA
F	morex_100mb	249	period_bp	42	NA
F	morex_100mb	250	period_bp	51	NA
F	morex_100mb	251	period_bp	48	NA
F	morex_100mb	252	period_bp	99	NA
F	morex_100mb	253	period_bp	205	NA
F	morex_100mb	254	period_bp	42	NA
F	morex_100mb	255	period_bp	48	NA
F	morex_100mb	256	period_bp	210	NA
F	morex_100mb	257	period_bp	42	NA
F	morex_100mb	258	period_bp	46	NA
F	morex_100mb	259	period_bp	43	NA
F	morex_100mb	260	period_bp	92	NA
F	morex_100mb	261	period_bp	42	NA
F	morex_100mb	262	period_bp	49	NA
F	morex_100mb	263	period_bp	45	NA
F	morex_100mb	264	period_bp	67	NA
F	morex_100mb	265	period_bp	46	NA
F	morex_100mb	266	period_bp	141	NA
F	morex_100mb	267	period_bp	42	NA
F	morex_100mb	268	period_bp	54	NA
F	morex_100mb	269	period_bp	133	NA
F	morex_100mb	270	period_bp	42	NA
F	morex_100mb	271	period_bp	45	NA
F	morex_100mb	272	period_bp	42	NA
F	morex_100mb	273	period_bp	49	NA
F	morex_100mb	274	period_bp	47	NA
F	morex_100mb	275	period_bp	42	NA
F	morex_100mb	276	period_bp	42	NA
F	morex_100mb	277	period_bp	108	NA
F	morex_100mb	278	period_bp	42	NA
F	morex_100mb	279	period_bp	48	NA
F	morex_100mb	280	period_bp	45	NA
F	morex_100mb	281	period_bp	42	NA
F	morex_100mb	282	period_bp	56	NA
F	morex_100mb	283	period_bp	42	NA
F	morex_100mb	284	period_bp	61	NA
F	morex_100mb	285	period_bp	89	NA
F	morex_100mb	286	period_bp	63	NA
F	morex_100mb	287	period_bp	42	NA
F	morex_100mb	288	period_bp	108	NA
F	morex_100mb	289	period_bp	48	NA
F	morex_100mb	290	period_bp	48	NA
F	morex_100mb	291	period_bp	42	NA
F	morex_100mb	292	period_bp	42	NA
F	morex_100mb	293	period_bp	57	NA
F	morex_100mb	294	period_bp	46	NA
F	morex_100mb	295	period_bp	48	NA
F	morex_100mb	296	period_bp	48	NA
F	morex_100mb	297	period_bp	123	NA
F	morex_100mb	298	period_bp	48	NA
