read_id	start	end	period	sequence	family_id
r000003438	0	21358	171		
r000003441	0	17498	171		
r000003442	4136	5357	61		
r000003443	0	12534	171		
r000003446	0	12832	421		
r000003448	0	13686	171		
r000003449	0	3531	421		
r000003452	9692	15370	421		
r000003453	0	17844	171		
r000003457	14347	21019	421		
r000003458	2	12558	171		
r000003461	0	14327	171		
r000003462	0	2749	421		
r000003464	9300	10197	61		
r000003466	3987	5217	61		
r000003473	0	8031	171		
r000003474	9962	17439	421		
r000003478	0	17809	421		
r000003481	0	10877	171		
r000003483	0	12567	171		
r000003484	0	12007	171		
r000003485	0	17726	171		
r000003488	7985	11406	171		
r000003494	4989	6219	61		
r000003497	0	11667	421		
r000003499	1	9716	171		
r000003503	0	13534	421		
r000003505	0	12203	171		
r000003506	0	10792	171		
r000003511	0	13858	171		
r000003512	6151	9571	171		
r000003516	2	10507	171		
r000003517	0	15157	171		
r000003518	0	2533	171		
r000003522	2128	9647	171		
r000003529	5535	12111	421		
r000003537	0	15448	421		
r000003541	0	11314	421		
r000003543	11761	13309	421		
r000003544	0	12155	421		
r000003546	0	15089	171		
r000003548	0	11692	171		
r000003553	8152	10594	171		
r000003558	0	5927	171		
r000003562	0	17098	421		
r000003566	16763	18624	171		
r000003567	0	13632	421		
r000003568	0	13965	171		
r000003569	0	12492	421		
r000003571	0	11609	421		
r000003573	1	8689	171		
r000003574	0	16079	171		
r000003575	0	15476	421		
r000003577	1	8164	421		
r000003581	0	16045	421		
r000003584	0	11550	421		
r000003586	0	12368	171		
r000003588	0	1496	61		
r000003589	0	12794	421		
r000003592	0	6063	61		
r000003594	0	13063	421		
r000003596	0	12174	421		
r000003597	2082	13786	61		
r000003598	6398	11278	61		
r000003611	0	12726	171		
r000003614	0	18038	171		
