family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000574	114020.8154	0.0	13135.0	13135.0	0.0	0.11519826405310901	0.0	114020.8154	13135.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000575	1404.141	0.0	706.0	706.0	0.0	0.5027985081270328	0.0	1404.141	706.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000576	590.2214	2384.0	2384.0	2384.0	4.039162253351031	4.039162253351031	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000577	1090.0302	1189.0	1189.0	1189.0	1.090795466033877	1.090795466033877	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000578	572.7539	991.0	991.0	991.0	1.7302370180281617	1.7302370180281617	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000579	450.5647	1566.0	1566.0	1566.0	3.4756384599148578	3.4756384599148578	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000580	18961.0023	0.0	12173.0	12173.0	0.0	0.6420019262378339	0.0	18961.0023	12173.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000581	346.0838	1225.0	1225.0	1225.0	3.53960514765499	3.53960514765499	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000582	2468.3432	346.0	1966.0	1966.0	0.14017499673465184	0.7964856750876459	0.17599186164801628	2122.3432	1620.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000583	833.4699	1568.0	1568.0	1568.0	1.8812916939172006	1.8812916939172006	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000584	2787.4153	4293.0	4293.0	4293.0	1.5401364841471594	1.5401364841471594	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000585	362.4166	1272.0	1272.0	1272.0	3.50977300708632	3.50977300708632	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000586	431.7267	1007.0	1007.0	1007.0	2.3324941450227654	2.3324941450227654	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000587	16390.757	7281.0	7565.0	7565.0	0.4442137724328412	0.4615406109675105	0.9624586913417053	9109.757000000001	284.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000588	151.5194	480.0	480.0	480.0	3.1679111717707436	3.1679111717707436	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000589	420.9299	748.0	748.0	748.0	1.7770179785280162	1.7770179785280162	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000590	380.0315	771.0	771.0	771.0	2.028779193303713	2.028779193303713	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000591	568.1758	743.0	743.0	743.0	1.3076938510932707	1.3076938510932707	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000592	352.3075	619.0	619.0	619.0	1.7569878586178267	1.7569878586178267	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000593	589.5533	4250.0	4250.0	4250.0	7.20884778356766	7.20884778356766	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
