tandemx_length_bp	recurrent_exact_unmatched_query_count	direct_length_eligible_pair_count	integer_multiple_length_eligible_pair_count	length_eligible_pair_union_count
848	1	33797	663657	697454
857	1	33905	650335	684240
859	2	67692	1313970	1381662
865	1	34247	667582	701829
874	1	34515	675295	709810
877	1	34461	669659	704120
879	1	34372	668048	702420
884	1	34530	675821	710351
886	1	34460	677073	711533
896	1	34732	679896	714628
897	1	34725	680910	715635
906	1	33998	683919	717917
916	1	31369	688618	719987
920	1	30364	687865	718229
938	1	26161	696569	722730
961	1	21983	696457	718440
969	1	19517	691787	711304
973	1	19102	691064	710166
981	1	18111	693763	711874
983	1	17805	682960	700765
