seed	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5201	5	0	1	f1	1.0	False	1220.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	2.496801453963022	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	1	f2	1.0	False	13681.0	171	4.9975	single_k21	67.0337	11462.7627	1.193516812487098	consistent	False	TN	single_k_baseline	0.6
5201	5	0	1	f2	1.0	False	13681.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	1.1871520536988074	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	1	f3	1.0	False	84200.0	421	4.9975	single_k21	193.6973	81546.56330000001	1.0325389151010365	consistent	False	TN	single_k_baseline	0.6
5201	5	0	1	f3	1.0	False	84200.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	1.0290386313955109	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f1	0.75	False	915.0	61	4.9975	single_k21	8.004	488.24399999999997	1.8740629685157422	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f1	0.75	False	915.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	1.8726010904722665	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f2	0.75	False	10261.0	171	4.9975	single_k21	67.0337	11462.7627	0.8951594191163009	consistent	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f2	0.75	False	10261.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	0.8903857337185485	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f3	0.75	False	63150.0	421	4.9975	single_k21	193.6973	81546.56330000001	0.7744041863257773	consistent	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f3	0.75	False	63150.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	0.7717789735466333	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.5	f1	0.5	True	610.0	61	4.9975	single_k21	8.004	488.24399999999997	1.2493753123438283	consistent	False	FN	single_k_baseline	0.6
5201	5	0	0.5	f1	0.5	True	610.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	1.248400726981511	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.5	f2	0.5	True	6841.0	171	4.9975	single_k21	67.0337	11462.7627	0.5968020257455038	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0	0.5	f2	0.5	True	6841.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	0.5936194137382896	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0.5	f3	0.5	True	42100.0	421	4.9975	single_k21	193.6973	81546.56330000001	0.5162694575505182	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0	0.5	f3	0.5	True	42100.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	0.5145193156977554	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0.25	f1	0.25	True	305.0	61	4.9975	single_k21	8.004	488.24399999999997	0.6246876561719141	consistent	False	FN	single_k_baseline	0.6
5201	5	0	0.25	f1	0.25	True	305.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	0.6242003634907555	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.25	f2	0.25	True	3421.0	171	4.9975	single_k21	67.0337	11462.7627	0.2984446323747067	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0	0.25	f2	0.25	True	3421.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	0.2968530937580308	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0.25	f3	0.25	True	21050.0	421	4.9975	single_k21	193.6973	81546.56330000001	0.2581347287752591	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0	0.25	f3	0.25	True	21050.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	0.2572596578488777	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0	f1	0.0	True	0.0	61	4.9975	single_k21	8.004	488.24399999999997	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0	0	f1	0.0	True	0.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0	f2	0.0	True	0.0	171	4.9975	single_k21	67.0337	11462.7627	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0	0	f2	0.0	True	0.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	0	f3	0.0	True	0.0	421	4.9975	single_k21	193.6973	81546.56330000001	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0	0	f3	0.0	True	0.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	1	f1	1.0	False	1220.0	61	4.9975	single_k21	7.8039	476.0379	2.5628211535258014	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	5	0.001	1	f1	1.0	False	1220.0	61	4.9975	multik_loglinear	8.017672375608877	489.0780149121415	2.494489555452952	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	1	f2	1.0	False	13681.0	171	4.9975	single_k21	65.2328	11154.808799999999	1.2264665621162418	consistent	False	TN	single_k_baseline	0.6
5201	5	0.001	1	f2	1.0	False	13681.0	171	4.9975	multik_loglinear	67.41737378983174	11528.370918061228	1.1867244814760687	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	1	f3	1.0	False	84200.0	421	4.9975	single_k21	189.8954	79945.9634	1.053211399538904	consistent	False	TN	single_k_baseline	0.6
