stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
smoke	3844.444096	21.906250	1	2607880
smoke	3844.674082	21.906250	1	2607880
smoke	3844.903421	21.906250	1	2607880
smoke	3845.134448	21.906250	1	2607880
smoke	3845.364443	21.906250	1	2607880
smoke	3845.593140	21.906250	1	2607880
smoke	3845.823956	21.906250	1	2607880
smoke	3846.055683	21.906250	1	2607880
smoke	3846.289136	21.906250	1	2607880
smoke	3846.519586	21.906250	1	2607880
smoke	3846.750412	21.906250	1	2607880
smoke	3846.980314	21.906250	1	2607880
smoke	3847.210834	21.906250	1	2607880
smoke	3847.443346	21.906250	1	2607880
smoke	3847.676718	21.906250	1	2607880
smoke	3847.908701	21.906250	1	2607880
smoke	3848.140740	21.906250	1	2607880
smoke	3848.372465	21.906250	1	2607880
smoke	3848.602822	21.906250	1	2607880
smoke	3848.833177	21.906250	1	2607880
smoke	3849.061400	21.906250	1	2607880
smoke	3849.293318	21.906250	1	2607880
smoke	3849.519610	21.906250	1	2607880
smoke	3849.752846	21.906250	1	2607880
smoke	3849.986225	21.906250	1	2607880
smoke	3850.214454	21.906250	1	2607880
smoke	3850.446368	21.906250	1	2607880
smoke	3850.676564	21.906250	1	2607880
smoke	3850.906557	21.906250	1	2607880
smoke	3851.137882	21.906250	1	2607880
smoke	3851.368792	21.906250	1	2607880
smoke	3851.596560	21.906250	1	2607880
smoke	3851.827674	21.906250	1	2607880
smoke	3852.058850	21.906250	1	2607880
smoke	3852.290216	21.906250	1	2607880
smoke	3852.523535	21.906250	1	2607880
smoke	3852.757350	21.906250	1	2607880
smoke	3852.988287	21.906250	1	2607880
smoke	3853.220950	21.906250	1	2607880
smoke	3853.451448	21.906250	1	2607880
smoke	3853.679022	21.906250	1	2607880
smoke	3853.909831	21.906250	1	2607880
smoke	3854.140533	21.906250	1	2607880
smoke	3854.371056	21.906250	1	2607880
smoke	3854.600323	21.906250	1	2607880
smoke	3854.830769	21.906250	1	2607880
smoke	3855.063302	21.906250	1	2607880
smoke	3855.294799	21.906250	1	2607880
smoke	3855.526174	21.906250	1	2607880
smoke	3855.757055	21.906250	1	2607880
smoke	3855.988373	21.921875	1	2607880
smoke	3856.221225	21.921875	1	2607880
smoke	3856.454318	21.921875	1	2607880
smoke	3856.684430	21.921875	1	2607880
smoke	3856.915147	21.921875	1	2607880
smoke	3857.145700	21.921875	1	2607880
smoke	3857.376169	21.921875	1	2607880
smoke	3857.606890	21.921875	1	2607880
smoke	3857.847532	21.921875	1	2607880
smoke	3858.079343	21.921875	1	2607880
smoke	3858.313885	21.921875	1	2607880
smoke	3858.546496	21.921875	1	2607880
smoke	3858.776617	21.921875	1	2607880
smoke	3859.005000	21.921875	1	2607880
smoke	3859.235788	21.921875	1	2607880
smoke	3859.464876	21.921875	1	2607880
smoke	3859.693324	21.921875	1	2607880
smoke	3859.925960	21.921875	1	2607880
smoke	3860.157028	21.921875	1	2607880
smoke	3860.386254	21.921875	1	2607880
smoke	3860.616536	21.921875	1	2607880
smoke	3860.844178	21.921875	1	2607880
smoke	3861.076679	21.921875	1	2607880
smoke	3861.305325	21.921875	1	2607880
smoke	3861.532649	21.921875	1	2607880
smoke	3861.763865	21.921875	1	2607880
smoke	3861.993643	21.921875	1	2607880
smoke	3862.226859	21.921875	1	2607880
smoke	3862.457864	21.921875	1	2607880
smoke	3862.687318	21.921875	1	2607880
smoke	3862.926285	21.921875	1	2607880
smoke	3863.157712	21.921875	1	2607880
smoke	3863.387322	21.921875	1	2607880
smoke	3863.624527	21.921875	1	2607880
smoke	3863.859162	21.921875	1	2607880
smoke	3864.090974	21.921875	1	2607880
smoke	3864.322404	21.921875	1	2607880
smoke	3864.556205	21.921875	1	2607880
smoke	3864.791190	21.921875	1	2607880
smoke	3865.026403	21.921875	1	2607880
smoke	3865.284551	21.921875	1	2607880
smoke	3865.519373	21.921875	1	2607880
smoke	3865.752940	21.921875	1	2607880
smoke	3865.987061	21.921875	1	2607880
smoke	3866.215565	21.921875	1	2607880
smoke	3866.446232	21.921875	1	2607880
smoke	3866.677186	21.921875	1	2607880
smoke	3866.907994	21.921875	1	2607880
smoke	3867.139992	21.921875	1	2607880
smoke	3867.370840	21.921875	1	2607880
smoke	3867.602335	21.921875	1	2607880
smoke	3867.834418	21.921875	1	2607880
smoke	3868.061470	21.921875	1	2607880
smoke	3868.292700	21.921875	1	2607880
smoke	3868.521216	21.921875	1	2607880
smoke	3868.749118	21.921875	1	2607880
smoke	3868.976806	21.921875	1	2607880
smoke	3869.204126	21.921875	1	2607880
smoke	3869.435209	21.921875	1	2607880
smoke	3869.662918	21.921875	1	2607880
smoke	3869.894405	21.921875	1	2607880
smoke	3870.125060	21.921875	1	2607880
smoke	3870.356398	21.921875	1	2607880
