seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5501	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f3	0.25	True	0.3926	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f1	1.0	False	0.6017	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f2	1.0	False	1.1638	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f3	1.0	False	1.6092	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f1	0.75	False	0.4513	possible_collapse	True	FP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f2	0.75	False	0.8733	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f3	0.75	False	1.2064	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f1	0.5	True	0.3009	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f2	0.5	True	0.5822	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f3	0.5	True	0.8046	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f1	0.25	True	0.144	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f2	0.25	True	0.2894	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f3	0.25	True	0.4021	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f1	1.0	False	0.7354	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f2	1.0	False	1.3884	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f3	1.0	False	1.9405	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f1	0.75	False	0.5516	possible_collapse	True	FP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f2	0.75	False	1.0418	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f3	0.75	False	1.4548	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f1	0.5	True	0.3677	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f2	0.5	True	0.6946	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f3	0.5	True	0.9703	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f1	0.25	True	0.1761	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f2	0.25	True	0.3452	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f3	0.25	True	0.4849	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0	5000	1	f1	1.0	False	2.9494	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	1	f2	1.0	False	1.319	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	1	f3	1.0	False	1.2964	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f1	0.75	False	2.212	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f2	0.75	False	0.9897	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f3	0.75	False	0.972	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f1	0.5	True	1.4747	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f2	0.5	True	0.6598	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f3	0.5	True	0.6482	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f1	0.25	True	0.706	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f2	0.25	True	0.3279	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f3	0.25	True	0.324	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f1	1.0	False	3.0387	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f2	1.0	False	1.3548	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f3	1.0	False	1.3221	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f1	0.75	False	2.2791	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f2	0.75	False	1.0165	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f3	0.75	False	0.9912	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f1	0.5	True	1.5194	possible_overexpansion	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f2	0.5	True	0.6777	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f3	0.5	True	0.6611	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f1	0.25	True	0.7274	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f2	0.25	True	0.3368	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f3	0.25	True	0.3304	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f1	1.0	False	3.714	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f2	1.0	False	1.6583	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f3	1.0	False	1.5866	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f1	0.75	False	2.7855	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f2	0.75	False	1.2443	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f3	0.75	False	1.1895	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f1	0.5	True	1.857	possible_overexpansion	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f2	0.5	True	0.8296	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f3	0.5	True	0.7933	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.25	f1	0.25	True	0.8891	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.25	f2	0.25	True	0.4123	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0.25	f3	0.25	True	0.3965	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	1	f1	1.0	False	1.3976	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	1	f2	1.0	False	1.1306	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	1	f3	1.0	False	1.2279	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.75	f1	0.75	False	1.0482	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.75	f2	0.75	False	0.8483	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.75	f3	0.75	False	0.9206	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.5	f1	0.5	True	0.6988	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.5	f2	0.5	True	0.5656	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.5	f3	0.5	True	0.614	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.25	f1	0.25	True	0.3346	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.25	f2	0.25	True	0.2811	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0.25	f3	0.25	True	0.3069	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	1	f1	1.0	False	1.4274	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	1	f2	1.0	False	1.1517	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	1	f3	1.0	False	1.2525	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.75	f1	0.75	False	1.0706	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.75	f2	0.75	False	0.8642	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.75	f3	0.75	False	0.9391	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.5	f1	0.5	True	0.7137	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.5	f2	0.5	True	0.5762	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.5	f3	0.5	True	0.6263	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.25	f1	0.25	True	0.3417	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.25	f2	0.25	True	0.2864	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0.25	f3	0.25	True	0.313	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	1	f1	1.0	False	1.7289	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	1	f2	1.0	False	1.3925	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	1	f3	1.0	False	1.5156	possible_overexpansion	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.75	f1	0.75	False	1.2967	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.75	f2	0.75	False	1.0449	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.75	f3	0.75	False	1.1363	consistent	False	TN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.5	f1	0.5	True	0.8645	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.5	f2	0.5	True	0.6966	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.5	f3	0.5	True	0.7578	consistent	False	FN
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.25	f1	0.25	True	0.4139	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.25	f2	0.25	True	0.3462	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0.25	f3	0.25	True	0.3788	possible_collapse	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	3	500	iid_base	0.9	20	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.03	1	500	iid_base	0.9	1	0	5000	1	f1	1.0	False	0.9922	consistent	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	1	f2	1.0	False	1.435	consistent	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	1	f3	1.0	False	2.1836	possible_overexpansion	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.75	f1	0.75	False	0.7509	consistent	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.75	f2	0.75	False	1.0763	consistent	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.75	f3	0.75	False	1.6373	possible_overexpansion	False	TN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.5	f1	0.5	True	0.4924	possible_collapse	True	TP
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.5	f2	0.5	True	0.7166	consistent	False	FN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.5	f3	0.5	True	1.0915	consistent	False	FN
5501	0.03	1	500	iid_base	0.9	1	0	5000	0.25	f1	0.25	True	0.2347	possible_collapse	True	TP
