family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000065	117	51	162.9352	130.2179	1.2513	146.3963	162.9352	0.0000	9.5095	total_read_bases_divided_by_genome_size	155.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000066	105	88	1222.0141	130.2179	9.3844	985.3595	583.9388	0.0783	21.2115	total_read_bases_divided_by_genome_size	1162.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000067	177	32	0.0000	130.2179	0.0000	0.0000	0.0000	0.0000	0.0396	total_read_bases_divided_by_genome_size	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000068	53	11	1929.9939	130.2179	14.8213	785.5268	215.4950	9.3158	16.1209	total_read_bases_divided_by_genome_size	1836.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000069	554	0	0.0000	130.2179	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000070	496	92	103.0171	130.2179	0.7911	392.3921	103.0171	0.0000	2.9368	total_read_bases_divided_by_genome_size	98.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000071	416	381	1600.9699	130.2179	12.2945	5114.5296	337.4336	3.4712	14.1674	total_read_bases_divided_by_genome_size	1523.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000072	32	32	1631.4545	130.2179	12.5286	400.9167	39.9454	8.1880	12.8176	total_read_bases_divided_by_genome_size	1552.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000073	97	0	0.0000	130.2179	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000074	54	0	0.0000	130.2179	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000075	890	42	26901.9179	130.2179	206.5915	183866.4350	8570.9179	122.1644	320.0440	total_read_bases_divided_by_genome_size	25591.7500	0.95129835	0	NA	NA	NA	NA	18620038709	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
